Hour,Day,Weather,Vehicles,Traffic
7,Monday,Clear,35,Low
8,Monday,Clear,55,Medium
9,Monday,Rainy,75,High
10,Tuesday,Clear,30,Low
11,Tuesday,Cloudy,45,Medium
12,Wednesday,Clear,25,Low
13,Wednesday,Cloudy,40,Medium
14,Thursday,Clear,20,Low
15,Thursday,Rainy,65,High
16,Friday,Clear,55,Medium
17,Friday,Clear,80,High
18,Friday,Clear,95,High
19,Friday,Rainy,85,High
20,Saturday,Clear,60,Medium
21,Saturday,Clear,30,Low
8,Tuesday,Clear,50,Medium
9,Wednesday,Clear,70,High
10,Thursday,Clear,35,Low
11,Friday,Cloudy,50,Medium
12,Saturday,Clear,30,Low
